Field,Type,Null,Key,Default,Extra
ï»¿Job_Id,text,YES,,NULL,
Job_Title,text,YES,,NULL,
Salary,int,YES,,NULL,
Salary_Currency,text,YES,,NULL,
Experience_Level,text,YES,,NULL,
Employment_Type,text,YES,,NULL,
Company_Location,text,YES,,NULL,
Company_Size,text,YES,,NULL,
Employee_Residence,text,YES,,NULL,
Remote_Ratio,text,YES,,NULL,
Work_Type,text,YES,,NULL,
Skills_Required,text,YES,,NULL,
Eduaction_Required,text,YES,,NULL,
Min_Experience_Required,text,YES,,NULL,
Industry,text,YES,,NULL,
Posting_Date,text,YES,,NULL,
Application_Deadline,text,YES,,NULL,
Job_Description_Length,int,YES,,NULL,
Benefit_Score,double,YES,,NULL,
Company_Name,text,YES,,NULL,
